STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,siec,Standard international energy product classification (SIEC),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,BA,Bosnia and Herzegovina,2020,,4129.598,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,BA,Bosnia and Herzegovina,2021,,4396.554,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,BA,Bosnia and Herzegovina,2022,,4384.844,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,BE,Belgium,2014,,39727.766,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,BE,Belgium,2015,,40974.804,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,BE,Belgium,2016,,40922.137,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,BE,Belgium,2017,,40674.496,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,BE,Belgium,2018,,41122.603,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,BE,Belgium,2019,,40118.065,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,BE,Belgium,2020,,38240.248,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,BE,Belgium,2021,,40971.037,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,BE,Belgium,2022,,37096.063,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,BE,Belgium,2023,,36558.917,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,BG,Bulgaria,2014,,9495.222,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,BG,Bulgaria,2015,,10065.150,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,BG,Bulgaria,2016,,10039.888,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,BG,Bulgaria,2017,,10269.856,,,,,
