year,country,energy_balance,Sum of all coal products,Sum of all fuel products,Sum of all peat products,Sum of all petroleum products,Sum of all renewable energies
1995,Ireland,Transport- road public passenger services,0,65,0,65,0
1995,Ireland,Transport- sum of all road transport,0,1597,0,1597,0
1995,Ireland,"Transport- unspecified (excluding road, rail and aviation)",0,314,0,314,0
1996,Ireland,Agricultural,0,284,0,239,0
1996,Ireland,Available final energy consumption,436,8939,472,5300,98
1996,Ireland,Commercial services,0,576,0,250,0
1996,Ireland,Commercial services- Accommodation and Food Services,0,0,0,0,0
1996,Ireland,"Commercial services- Financial, Insurance and Real Estate Activities",0,0,0,0,0
1996,Ireland,Commercial services- Information and Communication,0,0,0,0,0
1996,Ireland,Commercial services- Other Services Sectors,0,0,0,0,0
1996,Ireland,Commercial services- Transportation and Storage,0,0,0,0,0
1996,Ireland,"Commercial services- Wholesale, Retail, and Vehicle Repair",0,0,0,0,0
1996,Ireland,Exchanges and transfers- electricity,0,0,0,0,0
1996,Ireland,Exchanges and transfers- heat,0,0,0,0,0
1996,Ireland,Exchanges and transfers- other (excluding electricity and heat),8,22,0,13,0
1996,Ireland,Exports,13,903,6,869,0
1996,Ireland,Final non energy consumption feedstocks,0,560,0,159,0
1996,Ireland,Fisheries,0,44,0,44,0
1996,Ireland,Imports,1802,9366,0,7075,0
1996,Ireland,Indigenous production,0,3544,1203,0,169
1996,Ireland,Industry- basic metals and fabricated metal products,0,396,0,342,0
1996,Ireland,Industry- chemicals and man-made fibres,0,206,0,54,0
1996,Ireland,Industry- construction,0,68,0,51,0
1996,Ireland,Industry- electrical and optical equipment,4,155,0,44,0
1996,Ireland,Industry- food and beverages,31,474,0,193,4
1996,Ireland,Industry- machinery and equipment n.e.c,0,40,0,20,0
1996,Ireland,Industry- non energy mining,0,126,0,54,0
1996,Ireland,Industry- other manufacturing,0,48,0,5,0
1996,Ireland,Industry- other non-metallic mineral products,74,202,0,48,0
1996,Ireland,"Industry- pulp, paper, publishing and printing",0,45,0,7,0
1996,Ireland,Industry- rubber and plastic products,0,39,0,10,0
1996,Ireland,Industry- textiles and textile products,11,52,0,26,0
1996,Ireland,Industry- transport equipment manufacture,0,13,0,4,0
1996,Ireland,Industry- wood and wood products,0,97,0,6,68
1996,Ireland,Mar. bunkers,0,161,0,161,0
1996,Ireland,Non-energy consumption,0,560,0,159,0
1996,Ireland,Own use and distribution losses,0,366,6,65,0
1996,Ireland,Primary energy requirement excluding non energy,1917,11201,1060,5811,169
1996,Ireland,Primary energy supply including non energy,1917,11761,1060,5970,169
1996,Ireland,Public services,0,399,15,179,0
1996,Ireland,Public services- Education,0,0,0,0,0
1996,Ireland,"Public services- Health, Residential Care and Social Work Activities",0,0,0,0,0
1996,Ireland,Public services- Public Administration,0,0,0,0,0
1996,Ireland,"Public services- Water Supply, Sewerage, and Waste Management",0,0,0,0,0
1996,Ireland,Residential,368,2416,484,785,27
1996,Ireland,Statistical difference,0,44,0,125,0
1996,Ireland,Stock change,128,0,0,0,0
1996,Ireland,Sum of all commercial and public services,0,976,15,429,0
1996,Ireland,Sum of all exchanges and transfers,8,22,0,13,0
1996,Ireland,Sum of all industry sub-sectors,119,1961,0,865,71
1996,Ireland,Sum of all transformation input,1490,6398,709,2828,7
1996,Ireland,Sum of all transformation output,0,3920,126,2210,0
1996,Ireland,Sum of all transport,0,2655,0,2654,0
1996,Ireland,Total final energy consumption,487,8335,499,5015,98
1996,Ireland,Transformation input- briquetting plants,0,131,131,0,0
1996,Ireland,Transformation input- combined heat and power plants,5,52,8,4,0
1996,Ireland,Transformation input- oil refineries and other energy sectors,0,2208,0,2200,0
1996,Ireland,Transformation input- public thermal power plants,1485,3975,569,625,7
1996,Ireland,Transformation input- pumped storage consumption,0,32,0,0,0
1996,Ireland,Transformation output- briquetting plants,0,126,126,0,0
1996,Ireland,Transformation output- combined heat and power plants- electricity,0,20,0,0,0
1996,Ireland,Transformation output- combined heat and power plants- heat,0,0,0,0,0
1996,Ireland,Transformation output- oil refineries,0,2210,0,2210,0
1996,Ireland,Transformation output- public thermal power plants,0,1541,0,0,0
1996,Ireland,Transformation output- pumped storage consumption,0,22,0,0,0
1996,Ireland,Transport - navigation,0,12,0,12,0
1996,Ireland,Transport- Sum of all aviation transport,0,371,0,371,0
1996,Ireland,Transport- domestic aviation,0,16,0,16,0
1996,Ireland,Transport- fuel tourism,0,7,0,7,0
1996,Ireland,Transport- international aviation,0,354,0,354,0
1996,Ireland,Transport- rail,0,44,0,42,0
1996,Ireland,Transport- road freight,0,433,0,433,0
1996,Ireland,Transport- road light goods vehicle,0,0,0,0,0
1996,Ireland,Transport- road private car,0,1259,0,1259,0
1996,Ireland,Transport- road public passenger services,0,70,0,70,0
1996,Ireland,Transport- sum of all road transport,0,1763,0,1763,0
1996,Ireland,"Transport- unspecified (excluding road, rail and aviation)",0,459,0,459,0
1997,Ireland,Agricultural,0,294,0,247,0
1997,Ireland,Available final energy consumption,367,9394,468,5688,96
1997,Ireland,Commercial services,0,597,0,247,0
1997,Ireland,Commercial services- Accommodation and Food Services,0,0,0,0,0
1997,Ireland,"Commercial services- Financial, Insurance and Real Estate Activities",0,0,0,0,0
1997,Ireland,Commercial services- Information and Communication,0,0,0,0,0
1997,Ireland,Commercial services- Other Services Sectors,0,0,0,0,0
1997,Ireland,Commercial services- Transportation and Storage,0,0,0,0,0
1997,Ireland,"Commercial services- Wholesale, Retail, and Vehicle Repair",0,0,0,0,0
1997,Ireland,Exchanges and transfers- electricity,0,0,0,0,0
1997,Ireland,Exchanges and transfers- heat,0,0,0,0,0
1997,Ireland,Exchanges and transfers- other (excluding electricity and heat),10,17,0,7,0
1997,Ireland,Exports,9,1388,6,1367,0
1997,Ireland,Final non energy consumption feedstocks,0,686,0,220,0
1997,Ireland,Fisheries,0,38,0,38,0
1997,Ireland,Imports,1960,11061,0,8228,0
1997,Ireland,Indigenous production,0,2857,766,0,181
1997,Ireland,Industry- basic metals and fabricated metal products,0,428,0,371,0
1997,Ireland,Industry- chemicals and man-made fibres,0,213,0,58,0
1997,Ireland,Industry- construction,0,71,0,53,0
1997,Ireland,Industry- electrical and optical equipment,3,166,0,45,0
1997,Ireland,Industry- food and beverages,23,512,0,225,4
1997,Ireland,Industry- machinery and equipment n.e.c,0,57,0,36,0
1997,Ireland,Industry- non energy mining,0,148,0,67,0
1997,Ireland,Industry- other manufacturing,0,41,0,6,0
1997,Ireland,Industry- other non-metallic mineral products,55,202,0,65,0
1997,Ireland,"Industry- pulp, paper, publishing and printing",0,50,0,8,0
1997,Ireland,Industry- rubber and plastic products,0,41,0,11,0
1997,Ireland,Industry- textiles and textile products,8,51,0,26,0
1997,Ireland,Industry- transport equipment manufacture,0,14,0,4,0
1997,Ireland,Industry- wood and wood products,0,99,0,7,68
1997,Ireland,Mar. bunkers,0,154,0,154,0
1997,Ireland,Non-energy consumption,0,686,0,220,0
1997,Ireland,Own use and distribution losses,0,365,4,75,0
1997,Ireland,Primary energy requirement excluding non energy,1800,11704,1037,6377,181
1997,Ireland,Primary energy supply including non energy,1800,12391,1037,6597,181
1997,Ireland,Public services,0,395,10,166,0
1997,Ireland,Public services- Education,0,0,0,0,0
1997,Ireland,"Public services- Health, Residential Care and Social Work Activities",0,0,0,0,0
1997,Ireland,Public services- Public Administration,0,0,0,0,0
1997,Ireland,"Public services- Water Supply, Sewerage, and Waste Management",0,0,0,0,0
1997,Ireland,Residential,278,2382,462,874,24
1997,Ireland,Statistical difference,0,62,0,69,0
1997,Ireland,Stock change,0,15,276,0,0
1997,Ireland,Sum of all commercial and public services,0,992,10,413,0
1997,Ireland,Sum of all exchanges and transfers,10,17,0,7,0
1997,Ireland,Sum of all industry sub-sectors,90,2092,0,982,72
1997,Ireland,Sum of all transformation input,1443,7380,677,3808,22
1997,Ireland,Sum of all transformation output,0,4732,112,2967,0
1997,Ireland,Sum of all transport,0,2847,0,2845,0
1997,Ireland,Total final energy consumption,368,8646,472,5400,96
1997,Ireland,Transformation input- briquetting plants,0,116,116,0,0
1997,Ireland,Transformation input- combined heat and power plants,5,65,6,10,0
1997,Ireland,Transformation input- oil refineries and other energy sectors,0,2995,0,2987,0
1997,Ireland,Transformation input- public thermal power plants,1438,4172,555,811,22
1997,Ireland,Transformation input- pumped storage consumption,0,32,0,0,0
1997,Ireland,Transformation output- briquetting plants,0,112,112,0,0
1997,Ireland,Transformation output- combined heat and power plants- electricity,0,25,0,0,0
1997,Ireland,Transformation output- combined heat and power plants- heat,0,0,0,0,0
1997,Ireland,Transformation output- oil refineries,0,2967,0,2967,0
1997,Ireland,Transformation output- public thermal power plants,0,1606,0,0,0
1997,Ireland,Transformation output- pumped storage consumption,0,23,0,0,0
1997,Ireland,Transport - navigation,0,12,0,12,0
1997,Ireland,Transport- Sum of all aviation transport,0,446,0,446,0
1997,Ireland,Transport- domestic aviation,0,17,0,17,0
1997,Ireland,Transport- fuel tourism,0,164,0,164,0
1997,Ireland,Transport- international aviation,0,428,0,428,0
1997,Ireland,Transport- rail,0,43,0,41,0
1997,Ireland,Transport- road freight,0,474,0,474,0
1997,Ireland,Transport- road light goods vehicle,0,0,0,0,0
1997,Ireland,Transport- road private car,0,1348,0,1348,0
1997,Ireland,Transport- road public passenger services,0,69,0,69,0
1997,Ireland,Transport- sum of all road transport,0,1891,0,1891,0
1997,Ireland,"Transport- unspecified (excluding road, rail and aviation)",0,292,0,292,0
1998,Ireland,Agricultural,0,295,0,245,0
1998,Ireland,Available final energy consumption,411,10120,448,6198,117
1998,Ireland,Commercial services,0,611,0,234,0
1998,Ireland,Commercial services- Accommodation and Food Services,0,0,0,0,0
1998,Ireland,"Commercial services- Financial, Insurance and Real Estate Activities",0,0,0,0,0
1998,Ireland,Commercial services- Information and Communication,0,0,0,0,0
1998,Ireland,Commercial services- Other Services Sectors,0,0,0,0,0
1998,Ireland,Commercial services- Transportation and Storage,0,0,0,0,0
1998,Ireland,"Commercial services- Wholesale, Retail, and Vehicle Repair",0,0,0,0,0
1998,Ireland,Exchanges and transfers- electricity,0,0,0,0,0
1998,Ireland,Exchanges and transfers- heat,0,0,0,0,0
1998,Ireland,Exchanges and transfers- other (excluding electricity and heat),11,18,0,7,0
1998,Ireland,Exports,7,1364,8,1343,0
1998,Ireland,Final non energy consumption feedstocks,0,626,0,165,0
1998,Ireland,Fisheries,0,43,0,43,0
1998,Ireland,Imports,1859,12177,0,8906,0
1998,Ireland,Indigenous production,0,2463,822,0,231
1998,Ireland,Industry- basic metals and fabricated metal products,0,431,0,370,0
1998,Ireland,Industry- chemicals and man-made fibres,0,217,0,58,0
1998,Ireland,Industry- construction,0,74,0,55,0
1998,Ireland,Industry- electrical and optical equipment,3,177,0,43,0
1998,Ireland,Industry- food and beverages,20,522,0,220,4
1998,Ireland,Industry- machinery and equipment n.e.c,0,56,0,33,0
1998,Ireland,Industry- non energy mining,0,156,0,64,0
1998,Ireland,Industry- other manufacturing,0,33,0,6,0
1998,Ireland,Industry- other non-metallic mineral products,48,193,0,62,0
1998,Ireland,"Industry- pulp, paper, publishing and printing",0,55,0,7,0
1998,Ireland,Industry- rubber and plastic products,0,43,0,10,0
1998,Ireland,Industry- textiles and textile products,7,52,0,26,0
1998,Ireland,Industry- transport equipment manufacture,0,15,0,4,0
1998,Ireland,Industry- wood and wood products,0,120,0,7,87
1998,Ireland,Mar. bunkers,0,161,0,161,0
1998,Ireland,Non-energy consumption,0,626,0,165,0
1998,Ireland,Own use and distribution losses,0,390,7,87,0
1998,Ireland,Primary energy requirement excluding non energy,1866,12561,989,7119,231
1998,Ireland,Primary energy supply including non energy,1866,13187,989,7285,231
1998,Ireland,Public services,0,390,7,147,0
1998,Ireland,Public services- Education,0,0,0,0,0
1998,Ireland,"Public services- Health, Residential Care and Social Work Activities",0,0,0,0,0
1998,Ireland,Public services- Public Administration,0,0,0,0,0
1998,Ireland,"Public services- Water Supply, Sewerage, and Waste Management",0,0,0,0,0
1998,Ireland,Residential,320,2581,464,959,25
1998,Ireland,Statistical difference,13,138,0,150,0
1998,Ireland,Stock change,15,72,175,0,0
1998,Ireland,Sum of all commercial and public services,0,1001,7,381,0
1998,Ireland,Sum of all exchanges and transfers,11,18,0,7,0
1998,Ireland,Sum of all industry sub-sectors,78,2144,0,964,92
1998,Ireland,Sum of all transformation input,1466,7754,651,4223,21
1998,Ireland,Sum of all transformation output,0,5059,117,3216,0
1998,Ireland,Sum of all transport,0,3293,0,3291,0
1998,Ireland,Total final energy consumption,398,9356,470,5883,117
1998,Ireland,Transformation input- briquetting plants,0,123,123,0,0
1998,Ireland,Transformation input- combined heat and power plants,5,87,10,9,0
1998,Ireland,Transformation input- oil refineries and other energy sectors,0,3116,0,3108,0
1998,Ireland,Transformation input- public thermal power plants,1461,4394,518,1106,21
1998,Ireland,Transformation input- pumped storage consumption,0,34,0,0,0
1998,Ireland,Transformation output- briquetting plants,0,117,117,0,0
1998,Ireland,Transformation output- combined heat and power plants- electricity,0,35,0,0,0
1998,Ireland,Transformation output- combined heat and power plants- heat,0,0,0,0,0
1998,Ireland,Transformation output- oil refineries,0,3216,0,3216,0
1998,Ireland,Transformation output- public thermal power plants,0,1667,0,0,0
1998,Ireland,Transformation output- pumped storage consumption,0,23,0,0,0
1998,Ireland,Transport - navigation,0,16,0,16,0
1998,Ireland,Transport- Sum of all aviation transport,0,460,0,460,0
1998,Ireland,Transport- domestic aviation,0,19,0,19,0
1998,Ireland,Transport- fuel tourism,0,352,0,352,0
1998,Ireland,Transport- international aviation,0,441,0,441,0
1998,Ireland,Transport- rail,0,44,0,42,0
1998,Ireland,Transport- road freight,0,557,0,557,0
1998,Ireland,Transport- road light goods vehicle,0,0,0,0,0
1998,Ireland,Transport- road private car,0,1421,0,1421,0
1998,Ireland,Transport- road public passenger services,0,81,0,81,0
1998,Ireland,Transport- sum of all road transport,0,2058,0,2058,0
1998,Ireland,"Transport- unspecified (excluding road, rail and aviation)",0,363,0,363,0
1999,Ireland,Agricultural,0,305,0,259,0
1999,Ireland,Available final energy consumption,332,10606,327,6773,110
1999,Ireland,Commercial services,0,655,0,238,0
1999,Ireland,Commercial services- Accommodation and Food Services,0,0,0,0,0
1999,Ireland,"Commercial services- Financial, Insurance and Real Estate Activities",0,0,0,0,0
1999,Ireland,Commercial services- Information and Communication,0,0,0,0,0
1999,Ireland,Commercial services- Other Services Sectors,0,0,0,0,0
1999,Ireland,Commercial services- Transportation and Storage,0,0,0,0,0
1999,Ireland,"Commercial services- Wholesale, Retail, and Vehicle Repair",0,0,0,0,0
1999,Ireland,Exchanges and transfers- electricity,0,0,0,0,0
1999,Ireland,Exchanges and transfers- heat,0,0,0,0,0
1999,Ireland,Exchanges and transfers- other (excluding electricity and heat),12,14,0,1,0
1999,Ireland,Exports,9,1190,8,1169,0
1999,Ireland,Final non energy consumption feedstocks,0,601,0,191,0
1999,Ireland,Fisheries,0,38,0,38,0
1999,Ireland,Imports,1539,13117,0,9655,0
1999,Ireland,Indigenous production,0,2462,1135,0,222
1999,Ireland,Industry- basic metals and fabricated metal products,0,454,0,397,0
1999,Ireland,Industry- chemicals and man-made fibres,0,238,0,61,0
1999,Ireland,Industry- construction,0,77,0,58,0
1999,Ireland,Industry- electrical and optical equipment,2,177,0,45,0
1999,Ireland,Industry- food and beverages,16,537,0,235,4
1999,Ireland,Industry- machinery and equipment n.e.c,0,60,0,35,0
1999,Ireland,Industry- non energy mining,0,153,0,68,0
1999,Ireland,Industry- other manufacturing,0,34,0,6,0
1999,Ireland,Industry- other non-metallic mineral products,39,191,0,66,0
1999,Ireland,"Industry- pulp, paper, publishing and printing",0,58,0,8,0
1999,Ireland,Industry- rubber and plastic products,0,44,0,11,0
1999,Ireland,Industry- textiles and textile products,6,51,0,27,0
1999,Ireland,Industry- transport equipment manufacture,0,18,0,4,0
1999,Ireland,Industry- wood and wood products,0,121,0,7,87
1999,Ireland,Mar. bunkers,0,175,0,175,0
1999,Ireland,Non-energy consumption,0,601,0,191,0
1999,Ireland,Own use and distribution losses,0,380,7,75,0
1999,Ireland,Primary energy requirement excluding non energy,1588,13321,869,8029,222
1999,Ireland,Primary energy supply including non energy,1588,13922,869,8221,222
1999,Ireland,Public services,0,415,4,150,0
1999,Ireland,Public services- Education,0,0,0,0,0
1999,Ireland,"Public services- Health, Residential Care and Social Work Activities",0,0,0,0,0
1999,Ireland,Public services- Public Administration,0,0,0,0,0
1999,Ireland,"Public services- Water Supply, Sewerage, and Waste Management",0,0,0,0,0
1999,Ireland,Residential,263,2650,324,1142,18
1999,Ireland,Statistical difference,5,61,0,62,0
1999,Ireland,Stock change,58,0,0,0,0
1999,Ireland,Sum of all commercial and public services,0,1070,4,388,0
1999,Ireland,Sum of all exchanges and transfers,12,14,0,1,0
1999,Ireland,Sum of all industry sub-sectors,64,2214,0,1028,92
1999,Ireland,Sum of all transformation input,1268,7808,681,4282,23
1999,Ireland,Sum of all transformation output,0,4858,146,2908,0
1999,Ireland,Sum of all transport,0,3668,0,3666,0
1999,Ireland,Total final energy consumption,327,9944,328,6520,110
1999,Ireland,Transformation input- briquetting plants,0,153,153,0,0
1999,Ireland,Transformation input- combined heat and power plants,3,90,10,12,0
1999,Ireland,Transformation input- oil refineries and other energy sectors,0,2891,0,2882,0
1999,Ireland,Transformation input- public thermal power plants,1265,4642,518,1389,23
1999,Ireland,Transformation input- pumped storage consumption,0,32,0,0,0
1999,Ireland,Transformation output- briquetting plants,0,146,146,0,0
1999,Ireland,Transformation output- combined heat and power plants- electricity,0,33,0,0,0
1999,Ireland,Transformation output- combined heat and power plants- heat,0,0,0,0,0
1999,Ireland,Transformation output- oil refineries,0,2908,0,2908,0
1999,Ireland,Transformation output- public thermal power plants,0,1750,0,0,0
1999,Ireland,Transformation output- pumped storage consumption,0,21,0,0,0
1999,Ireland,Transport - navigation,0,19,0,19,0
1999,Ireland,Transport- Sum of all aviation transport,0,544,0,544,0
1999,Ireland,Transport- domestic aviation,0,21,0,21,0
1999,Ireland,Transport- fuel tourism,0,521,0,521,0
1999,Ireland,Transport- international aviation,0,522,0,522,0
1999,Ireland,Transport- rail,0,43,0,40,0
1999,Ireland,Transport- road freight,0,692,0,692,0
1999,Ireland,Transport- road light goods vehicle,0,0,0,0,0
1999,Ireland,Transport- road private car,0,1504,0,1504,0
1999,Ireland,Transport- road public passenger services,0,91,0,91,0
1999,Ireland,Transport- sum of all road transport,0,2287,0,2287,0
1999,Ireland,"Transport- unspecified (excluding road, rail and aviation)",0,254,0,254,0
2000,Ireland,Agricultural,0,317,0,268,0
2000,Ireland,Available final energy consumption,398,11165,301,7024,118
2000,Ireland,Commercial services,0,702,0,229,0
2000,Ireland,Commercial services- Accommodation and Food Services,0,0,0,0,0
2000,Ireland,"Commercial services- Financial, Insurance and Real Estate Activities",0,0,0,0,0
2000,Ireland,Commercial services- Information and Communication,0,0,0,0,0
2000,Ireland,Commercial services- Other Services Sectors,0,0,0,0,0
2000,Ireland,Commercial services- Transportation and Storage,0,0,0,0,0
2000,Ireland,"Commercial services- Wholesale, Retail, and Vehicle Repair",0,0,0,0,0
2000,Ireland,Exchanges and transfers- electricity,0,0,0,0,0
2000,Ireland,Exchanges and transfers- heat,0,0,0,0,0
2000,Ireland,Exchanges and transfers- other (excluding electricity and heat),15,0,0,0,0
2000,Ireland,Exports,6,1409,8,1388,0
2000,Ireland,Final non energy consumption feedstocks,0,666,0,283,0
2000,Ireland,Fisheries,0,37,0,37,0
2000,Ireland,Imports,1697,13812,0,9618,0
2000,Ireland,Indigenous production,0,2161,965,0,235
2000,Ireland,Industry- basic metals and fabricated metal products,0,472,0,416,0
2000,Ireland,Industry- chemicals and man-made fibres,0,274,0,64,0
2000,Ireland,Industry- construction,0,80,0,60,0
2000,Ireland,Industry- electrical and optical equipment,4,186,0,45,0
2000,Ireland,Industry- food and beverages,29,607,0,264,4
2000,Ireland,Industry- machinery and equipment n.e.c,0,82,0,52,0
2000,Ireland,Industry- non energy mining,0,164,0,80,0
2000,Ireland,Industry- other manufacturing,0,37,0,6,0
2000,Ireland,Industry- other non-metallic mineral products,70,252,0,85,0
2000,Ireland,"Industry- pulp, paper, publishing and printing",0,64,0,8,0
2000,Ireland,Industry- rubber and plastic products,0,47,0,11,0
2000,Ireland,Industry- textiles and textile products,10,57,0,28,0
2000,Ireland,Industry- transport equipment manufacture,0,23,0,4,0
2000,Ireland,Industry- wood and wood products,0,132,0,8,96
2000,Ireland,Mar. bunkers,0,154,0,154,0
2000,Ireland,Non-energy consumption,0,666,0,283,0
2000,Ireland,Own use and distribution losses,0,410,5,92,0
2000,Ireland,Primary energy requirement excluding non energy,1813,13803,803,7885,235
2000,Ireland,Primary energy supply including non energy,1813,14470,803,8168,235
2000,Ireland,Public services,0,450,4,145,0
2000,Ireland,Public services- Education,0,0,0,0,0
2000,Ireland,"Public services- Health, Residential Care and Social Work Activities",0,0,0,0,0
2000,Ireland,Public services- Public Administration,0,0,0,0,0
2000,Ireland,"Public services- Water Supply, Sewerage, and Waste Management",0,0,0,0,0
2000,Ireland,Residential,286,2725,299,1136,17
2000,Ireland,Statistical difference,0,0,0,0,0
2000,Ireland,Stock change,122,60,0,92,0
2000,Ireland,Sum of all commercial and public services,0,1152,4,374,0
2000,Ireland,Sum of all exchanges and transfers,15,0,0,0,0
2000,Ireland,Sum of all industry sub-sectors,113,2479,0,1131,100
2000,Ireland,Sum of all transformation input,1430,8359,618,4411,24
2000,Ireland,Sum of all transformation output,0,5465,121,3375,0
2000,Ireland,Sum of all transport,0,4103,0,4101,0
2000,Ireland,Total final energy consumption,398,10814,303,7047,118
2000,Ireland,Transformation input- briquetting plants,0,126,126,0,0
2000,Ireland,Transformation input- combined heat and power plants,4,114,13,12,0
2000,Ireland,Transformation input- oil refineries and other energy sectors,0,3382,0,3372,0
2000,Ireland,Transformation input- public thermal power plants,1427,4698,478,1027,24
2000,Ireland,Transformation input- pumped storage consumption,0,39,0,0,0
2000,Ireland,Transformation output- briquetting plants,0,121,121,0,0
2000,Ireland,Transformation output- combined heat and power plants- electricity,0,50,0,0,0
2000,Ireland,Transformation output- combined heat and power plants- heat,0,0,0,0,0
2000,Ireland,Transformation output- oil refineries,0,3375,0,3375,0
2000,Ireland,Transformation output- public thermal power plants,0,1892,0,0,0
2000,Ireland,Transformation output- pumped storage consumption,0,26,0,0,0
2000,Ireland,Transport - navigation,0,24,0,24,0
2000,Ireland,Transport- Sum of all aviation transport,0,630,0,630,0
2000,Ireland,Transport- domestic aviation,0,23,0,23,0
2000,Ireland,Transport- fuel tourism,0,718,0,718,0
2000,Ireland,Transport- international aviation,0,607,0,607,0
2000,Ireland,Transport- rail,0,42,0,40,0
2000,Ireland,Transport- road freight,0,809,0,809,0
2000,Ireland,Transport- road light goods vehicle,0,0,0,0,0
2000,Ireland,Transport- road private car,0,1562,0,1562,0
2000,Ireland,Transport- road public passenger services,0,86,0,86,0
2000,Ireland,Transport- sum of all road transport,0,2458,0,2458,0
2000,Ireland,"Transport- unspecified (excluding road, rail and aviation)",0,231,0,231,0
2001,Ireland,Agricultural,0,323,0,271,0
2001,Ireland,Available final energy consumption,381,11540,291,7249,130
2001,Ireland,Commercial services,0,724,0,222,0
2001,Ireland,Commercial services- Accommodation and Food Services,0,0,0,0,0
2001,Ireland,"Commercial services- Financial, Insurance and Real Estate Activities",0,0,0,0,0
2001,Ireland,Commercial services- Information and Communication,0,0,0,0,0
2001,Ireland,Commercial services- Other Services Sectors,0,0,0,0,0
2001,Ireland,Commercial services- Transportation and Storage,0,0,0,0,0
2001,Ireland,"Commercial services- Wholesale, Retail, and Vehicle Repair",0,0,0,0,0
2001,Ireland,Exchanges and transfers- electricity,0,0,0,0,0
2001,Ireland,Exchanges and transfers- heat,0,0,0,0,0
2001,Ireland,Exchanges and transfers- other (excluding electricity and heat),21,0,0,0,0
2001,Ireland,Exports,6,1485,8,1445,0
2001,Ireland,Final non energy consumption feedstocks,0,554,0,102,0
2001,Ireland,Fisheries,0,37,0,37,0
2001,Ireland,Imports,1892,15199,0,10373,0
2001,Ireland,Indigenous production,0,1776,883,0,234
2001,Ireland,Industry- basic metals and fabricated metal products,0,415,0,372,0
2001,Ireland,Industry- chemicals and man-made fibres,0,285,0,58,0
2001,Ireland,Industry- construction,0,83,0,62,0
2001,Ireland,Industry- electrical and optical equipment,7,179,0,37,0
2001,Ireland,Industry- food and beverages,19,600,0,269,4
2001,Ireland,Industry- machinery and equipment n.e.c,0,114,0,83,0
2001,Ireland,Industry- non energy mining,0,175,0,102,0
2001,Ireland,Industry- other manufacturing,0,37,0,5,0
2001,Ireland,Industry- other non-metallic mineral products,95,233,0,42,0
2001,Ireland,"Industry- pulp, paper, publishing and printing",0,64,0,7,0
2001,Ireland,Industry- rubber and plastic products,0,42,0,8,0
2001,Ireland,Industry- textiles and textile products,8,55,0,30,0
2001,Ireland,Industry- transport equipment manufacture,0,25,0,3,0
2001,Ireland,Industry- wood and wood products,0,144,0,7,109
2001,Ireland,Mar. bunkers,0,165,0,165,0
2001,Ireland,Non-energy consumption,0,554,0,102,0
2001,Ireland,Own use and distribution losses,0,443,11,111,0
2001,Ireland,Primary energy requirement excluding non energy,1877,14598,863,8506,234
2001,Ireland,Primary energy supply including non energy,1877,15152,863,8608,234
2001,Ireland,Public services,0,451,4,142,0
2001,Ireland,Public services- Education,0,0,0,0,0
2001,Ireland,"Public services- Health, Residential Care and Social Work Activities",0,0,0,0,0
2001,Ireland,Public services- Public Administration,0,0,0,0,0
2001,Ireland,"Public services- Water Supply, Sewerage, and Waste Management",0,0,0,0,0
2001,Ireland,Residential,264,2889,288,1261,17
2001,Ireland,Statistical difference,0,0,0,0,0
2001,Ireland,Stock change,0,0,0,0,0
2001,Ireland,Sum of all commercial and public services,0,1176,4,364,0
2001,Ireland,Sum of all exchanges and transfers,21,0,0,0,0
2001,Ireland,Sum of all industry sub-sectors,129,2450,0,1084,113
2001,Ireland,Sum of all transformation input,1517,8816,679,4690,24
2001,Ireland,Sum of all transformation output,0,5649,119,3463,0
2001,Ireland,Sum of all transport,0,4387,0,4384,0
2001,Ireland,Total final energy consumption,393,11262,292,7402,130
2001,Ireland,Transformation input- briquetting plants,0,130,130,0,0
2001,Ireland,Transformation input- combined heat and power plants,3,119,13,12,0
2001,Ireland,Transformation input- oil refineries and other energy sectors,0,3467,0,3457,0
2001,Ireland,Transformation input- public thermal power plants,1514,5060,537,1221,24
2001,Ireland,Transformation input- pumped storage consumption,0,41,0,0,0
2001,Ireland,Transformation output- briquetting plants,0,119,119,0,0
2001,Ireland,Transformation output- combined heat and power plants- electricity,0,50,0,0,0
2001,Ireland,Transformation output- combined heat and power plants- heat,0,0,0,0,0
2001,Ireland,Transformation output- oil refineries,0,3463,0,3463,0
2001,Ireland,Transformation output- public thermal power plants,0,1989,0,0,0
2001,Ireland,Transformation output- pumped storage consumption,0,28,0,0,0
2001,Ireland,Transport - navigation,0,29,0,29,0
2001,Ireland,Transport- Sum of all aviation transport,0,757,0,757,0
2001,Ireland,Transport- domestic aviation,0,23,0,23,0
2001,Ireland,Transport- fuel tourism,0,659,0,659,0
2001,Ireland,Transport- international aviation,0,734,0,734,0
2001,Ireland,Transport- rail,0,46,0,44,0
2001,Ireland,Transport- road freight,0,808,0,808,0
2001,Ireland,Transport- road light goods vehicle,0,0,0,0,0
2001,Ireland,Transport- road private car,0,1642,0,1642,0
2001,Ireland,Transport- road public passenger services,0,98,0,98,0
2001,Ireland,Transport- sum of all road transport,0,2548,0,2548,0
2001,Ireland,"Transport- unspecified (excluding road, rail and aviation)",0,349,0,349,0
2002,Ireland,Agricultural,0,324,0,272,0
2002,Ireland,Available final energy consumption,291,11761,314,7585,130
2002,Ireland,Commercial services,0,754,0,212,0
