year,country,energy_balance,Sum of all coal products,Sum of all fuel products,Sum of all peat products,Sum of all petroleum products,Sum of all renewable energies
1991,Ireland,Final non energy consumption feedstocks,0,638,0,190,0
1991,Ireland,Fisheries,0,31,0,31,0
1991,Ireland,Imports,2021,7716,0,5695,0
1991,Ireland,Indigenous production,1,3291,1200,0,168
1991,Ireland,Industry- basic metals and fabricated metal products,0,292,0,248,0
1991,Ireland,Industry- chemicals and man-made fibres,0,198,0,44,0
1991,Ireland,Industry- construction,0,53,0,39,0
1991,Ireland,Industry- electrical and optical equipment,8,118,0,46,0
1991,Ireland,Industry- food and beverages,56,433,0,167,3
1991,Ireland,Industry- machinery and equipment n.e.c,0,41,0,29,0
1991,Ireland,Industry- non energy mining,0,91,0,57,0
1991,Ireland,Industry- other manufacturing,0,91,0,5,0
1991,Ireland,Industry- other non-metallic mineral products,134,273,0,53,0
1991,Ireland,"Industry- pulp, paper, publishing and printing",0,26,0,7,0
1991,Ireland,Industry- rubber and plastic products,0,33,0,10,0
1991,Ireland,Industry- textiles and textile products,19,56,0,26,0
1991,Ireland,Industry- transport equipment manufacture,0,10,0,4,0
1991,Ireland,Industry- wood and wood products,0,83,0,5,61
1991,Ireland,Mar. bunkers,0,34,0,34,0
1991,Ireland,Non-energy consumption,0,638,0,190,0
1991,Ireland,Own use and distribution losses,0,296,6,61,0
1991,Ireland,Primary energy requirement excluding non energy,2044,9703,1276,4739,168
1991,Ireland,Primary energy supply including non energy,2044,10341,1276,4929,168
1991,Ireland,Public services,0,430,29,264,0
1991,Ireland,Public services- Education,0,0,0,0,0
1991,Ireland,"Public services- Health, Residential Care and Social Work Activities",0,0,0,0,0
1991,Ireland,Public services- Public Administration,0,0,0,0,0
1991,Ireland,"Public services- Water Supply, Sewerage, and Waste Management",0,0,0,0,0
1991,Ireland,Residential,699,2333,622,437,40
1991,Ireland,Statistical difference,0,0,0,58,0
1991,Ireland,Stock change,40,126,81,4,0
1991,Ireland,Sum of all commercial and public services,0,961,29,558,0
1991,Ireland,Sum of all exchanges and transfers,0,0,0,0,0
1991,Ireland,Sum of all industry sub-sectors,217,1796,0,740,64
1991,Ireland,Sum of all transformation input,1225,5246,788,2408,0
1991,Ireland,Sum of all transformation output,0,3236,157,1842,0
1991,Ireland,Sum of all transport,0,2067,0,2065,0
1991,Ireland,Total final energy consumption,916,7448,651,4054,104
1991,Ireland,Transformation input- briquetting plants,0,167,167,0,0
1991,Ireland,Transformation input- combined heat and power plants,4,40,9,2,0
1991,Ireland,Transformation input- oil refineries and other energy sectors,0,1852,0,1843,0
1991,Ireland,Transformation input- public thermal power plants,1221,3160,611,563,0
1991,Ireland,Transformation input- pumped storage consumption,0,27,0,0,0
1991,Ireland,Transformation output- briquetting plants,0,157,157,0,0
1991,Ireland,Transformation output- combined heat and power plants- electricity,0,16,0,0,0
1991,Ireland,Transformation output- combined heat and power plants- heat,0,0,0,0,0
1991,Ireland,Transformation output- oil refineries,0,1842,0,1842,0
1991,Ireland,Transformation output- public thermal power plants,0,1202,0,0,0
1991,Ireland,Transformation output- pumped storage consumption,0,19,0,0,0
1991,Ireland,Transport - navigation,0,7,0,7,0
1991,Ireland,Transport- Sum of all aviation transport,0,362,0,362,0
1991,Ireland,Transport- domestic aviation,0,15,0,15,0
1991,Ireland,Transport- fuel tourism,0,0,0,0,0
1991,Ireland,Transport- international aviation,0,348,0,348,0
1991,Ireland,Transport- rail,0,44,0,42,0
1991,Ireland,Transport- road freight,0,349,0,349,0
1991,Ireland,Transport- road light goods vehicle,0,0,0,0,0
1991,Ireland,Transport- road private car,0,981,0,981,0
1991,Ireland,Transport- road public passenger services,0,57,0,57,0
1991,Ireland,Transport- sum of all road transport,0,1388,0,1388,0
1991,Ireland,"Transport- unspecified (excluding road, rail and aviation)",0,266,0,266,0
1992,Ireland,Agricultural,0,267,0,227,0
1992,Ireland,Available final energy consumption,480,7919,643,4465,92
1992,Ireland,Commercial services,0,544,0,286,0
1992,Ireland,Commercial services- Accommodation and Food Services,0,0,0,0,0
1992,Ireland,"Commercial services- Financial, Insurance and Real Estate Activities",0,0,0,0,0
1992,Ireland,Commercial services- Information and Communication,0,0,0,0,0
1992,Ireland,Commercial services- Other Services Sectors,0,0,0,0,0
1992,Ireland,Commercial services- Transportation and Storage,0,0,0,0,0
1992,Ireland,"Commercial services- Wholesale, Retail, and Vehicle Repair",0,0,0,0,0
1992,Ireland,Exchanges and transfers- electricity,0,0,0,0,0
1992,Ireland,Exchanges and transfers- heat,0,0,0,0,0
1992,Ireland,Exchanges and transfers- other (excluding electricity and heat),0,0,0,0,0
1992,Ireland,Exports,21,841,4,815,0
1992,Ireland,Final non energy consumption feedstocks,0,617,0,180,0
1992,Ireland,Fisheries,0,33,0,33,0
1992,Ireland,Imports,1970,7636,0,5667,0
1992,Ireland,Indigenous production,1,3086,1021,0,162
1992,Ireland,Industry- basic metals and fabricated metal products,0,336,0,291,0
1992,Ireland,Industry- chemicals and man-made fibres,0,196,0,49,0
1992,Ireland,Industry- construction,0,56,0,41,0
1992,Ireland,Industry- electrical and optical equipment,4,121,0,46,0
1992,Ireland,Industry- food and beverages,28,416,0,179,3
1992,Ireland,Industry- machinery and equipment n.e.c,0,37,0,25,0
1992,Ireland,Industry- non energy mining,0,96,0,56,0
