year,country,energy_balance,value
2020,France,Available for final consumption,141139.938
2021,France,Available for final consumption,152001.574
2022,France,Available for final consumption,143146.894
2023,France,Available for final consumption,140331.823
2014,Georgia,Available for final consumption,3981.288
2015,Georgia,Available for final consumption,4162.566
2016,Georgia,Available for final consumption,4399.992
2017,Georgia,Available for final consumption,4462.032
2018,Georgia,Available for final consumption,4414.241
2019,Georgia,Available for final consumption,4591.701
2020,Georgia,Available for final consumption,4486.584
2021,Georgia,Available for final consumption,4897.317
2022,Georgia,Available for final consumption,5181.983
2014,Croatia,Available for final consumption,6671.967
2015,Croatia,Available for final consumption,7016.573
2016,Croatia,Available for final consumption,7049.521
2017,Croatia,Available for final consumption,7328.457
2018,Croatia,Available for final consumption,7169.205
2019,Croatia,Available for final consumption,7289.787
2020,Croatia,Available for final consumption,6964.498
2021,Croatia,Available for final consumption,7300.983
2022,Croatia,Available for final consumption,6912.119
2023,Croatia,Available for final consumption,7221.552
2014,Hungary,Available for final consumption,17277.269
2015,Hungary,Available for final consumption,18537.076
2016,Hungary,Available for final consumption,18899.277
2017,Hungary,Available for final consumption,19790.711
2018,Hungary,Available for final consumption,19858.403
2019,Hungary,Available for final consumption,19941.603
2020,Hungary,Available for final consumption,19682.796
2021,Hungary,Available for final consumption,21175.297
2022,Hungary,Available for final consumption,19723.758
2023,Hungary,Available for final consumption,18635.772
2014,Ireland,Available for final consumption,10120.548
2015,Ireland,Available for final consumption,10769.585
2016,Ireland,Available for final consumption,11305.29
2017,Ireland,Available for final consumption,11190.034
2018,Ireland,Available for final consumption,11374.648
2019,Ireland,Available for final consumption,11561.637
2020,Ireland,Available for final consumption,11124.459
2021,Ireland,Available for final consumption,11350.285
2022,Ireland,Available for final consumption,11212.302
2023,Ireland,Available for final consumption,11204.801
2014,Iceland,Available for final consumption,2717.469
2015,Iceland,Available for final consumption,2866.124
2016,Iceland,Available for final consumption,2937.394
2017,Iceland,Available for final consumption,3044.775
2018,Iceland,Available for final consumption,3169.289
2019,Iceland,Available for final consumption,3092.55
2020,Iceland,Available for final consumption,3038.628
2021,Iceland,Available for final consumption,3048.092
2022,Iceland,Available for final consumption,3265.834
2023,Iceland,Available for final consumption,3222.23
2014,Italy,Available for final consumption,113957.89
2015,Italy,Available for final consumption,117628.883
2016,Italy,Available for final consumption,116754.218
2017,Italy,Available for final consumption,121173.803
2018,Italy,Available for final consumption,119828.284
2019,Italy,Available for final consumption,118662.685
2020,Italy,Available for final consumption,109277.762
2021,Italy,Available for final consumption,120352.245
2022,Italy,Available for final consumption,112017.694
2023,Italy,Available for final consumption,110016.668
2014,Lithuania,Available for final consumption,5807.831
2015,Lithuania,Available for final consumption,5895.52
2016,Lithuania,Available for final consumption,6047.724
2017,Lithuania,Available for final consumption,6434.108
2018,Lithuania,Available for final consumption,6596.097
2019,Lithuania,Available for final consumption,6645.976
2020,Lithuania,Available for final consumption,6429.75
2021,Lithuania,Available for final consumption,6680.085
2022,Lithuania,Available for final consumption,6015.464
2023,Lithuania,Available for final consumption,5995.467
