year,country,energy_balance,value
2017,Luxembourg,Gross available energy,4330.389
2018,Luxembourg,Gross available energy,4504.739
2019,Luxembourg,Gross available energy,4545.653
2020,Luxembourg,Gross available energy,3967.525
2021,Luxembourg,Gross available energy,4221.718
2022,Luxembourg,Gross available energy,3817.664
2023,Luxembourg,Gross available energy,3690.139
2014,Latvia,Gross available energy,4684.209
2015,Latvia,Gross available energy,4634.173
2016,Latvia,Gross available energy,4706.689
2017,Latvia,Gross available energy,4811.298
2018,Latvia,Gross available energy,4831.547
2019,Latvia,Gross available energy,4940.251
2020,Latvia,Gross available energy,4568.313
2021,Latvia,Gross available energy,4787.767
2022,Latvia,Gross available energy,4480.26
2023,Latvia,Gross available energy,4420.189
2014,Moldova,Gross available energy,2587.948
2015,Moldova,Gross available energy,2602.359
2016,Moldova,Gross available energy,2708.197
2017,Moldova,Gross available energy,2850.473
2018,Moldova,Gross available energy,2988.291
2019,Moldova,Gross available energy,2839.87
2020,Moldova,Gross available energy,2714.524
2021,Moldova,Gross available energy,3008.81
2022,Moldova,Gross available energy,2692.197
2023,Moldova,Gross available energy,2572.784
2014,Montenegro,Gross available energy,973.891
2015,Montenegro,Gross available energy,1018.874
2016,Montenegro,Gross available energy,989.693
2017,Montenegro,Gross available energy,1037.122
2018,Montenegro,Gross available energy,1074.297
2019,Montenegro,Gross available energy,1112.236
2020,Montenegro,Gross available energy,1022.524
2021,Montenegro,Gross available energy,1092.894
2022,Montenegro,Gross available energy,1061.592
2023,Montenegro,Gross available energy,1098.517
2014,North Macedonia,Gross available energy,2707.262
2015,North Macedonia,Gross available energy,2661.084
2016,North Macedonia,Gross available energy,2705.66
2017,North Macedonia,Gross available energy,2763.277
2018,North Macedonia,Gross available energy,2592.09
2019,North Macedonia,Gross available energy,2861.947
2020,North Macedonia,Gross available energy,2597.287
2021,North Macedonia,Gross available energy,2676.973
2022,North Macedonia,Gross available energy,2737.786
2023,North Macedonia,Gross available energy,2700.708
2014,Malta,Gross available energy,2115.647
2015,Malta,Gross available energy,2294.528
2016,Malta,Gross available energy,2470.445
2017,Malta,Gross available energy,2959.315
2018,Malta,Gross available energy,3053.813
2019,Malta,Gross available energy,3163.634
2020,Malta,Gross available energy,2946.878
2021,Malta,Gross available energy,2738.727
2022,Malta,Gross available energy,3042.331
2023,Malta,Gross available energy,3195.004
2014,Netherlands,Gross available energy,87933.618
2015,Netherlands,Gross available energy,88424.119
2016,Netherlands,Gross available energy,90052.035
2017,Netherlands,Gross available energy,91106.202
2018,Netherlands,Gross available energy,89196.442
2019,Netherlands,Gross available energy,87637.839
2020,Netherlands,Gross available energy,83781.874
2021,Netherlands,Gross available energy,85697.389
2022,Netherlands,Gross available energy,78817.06
2023,Netherlands,Gross available energy,76019.164
2014,Norway,Gross available energy,29657.399
2015,Norway,Gross available energy,26744.974
2016,Norway,Gross available energy,29443.202
2017,Norway,Gross available energy,31056.633
2018,Norway,Gross available energy,31169.176
2019,Norway,Gross available energy,29689.63
2020,Norway,Gross available energy,28985.176
2021,Norway,Gross available energy,30008.808
2022,Norway,Gross available energy,27152.459
2023,Norway,Gross available energy,28841.738
2014,Poland,Gross available energy,94969.964
2015,Poland,Gross available energy,96061.225
2016,Poland,Gross available energy,100765.123
2017,Poland,Gross available energy,105492.599
2018,Poland,Gross available energy,110246.626
2019,Poland,Gross available energy,106347.823
2020,Poland,Gross available energy,103261.157
2021,Poland,Gross available energy,109937.849
2022,Poland,Gross available energy,104734.817
2023,Poland,Gross available energy,98485.159
2014,Portugal,Gross available energy,23320.573
2015,Portugal,Gross available energy,24230.2
2016,Portugal,Gross available energy,24284.081
2017,Portugal,Gross available energy,25419.887
2018,Portugal,Gross available energy,24843.099
2019,Portugal,Gross available energy,24857.905
2020,Portugal,Gross available energy,22086.686
2021,Portugal,Gross available energy,22203.331
2022,Portugal,Gross available energy,23289.079
2023,Portugal,Gross available energy,22676.551
2014,Romania,Gross available energy,31665.428
2015,Romania,Gross available energy,31917.548
2016,Romania,Gross available energy,31826.369
2017,Romania,Gross available energy,33562.493
2018,Romania,Gross available energy,33610.239
2019,Romania,Gross available energy,33239.401
2020,Romania,Gross available energy,32264.95
2021,Romania,Gross available energy,34324.984
2022,Romania,Gross available energy,31672.4
2023,Romania,Gross available energy,30792.411
2014,Serbia,Gross available energy,13374.319
2015,Serbia,Gross available energy,14833.155
2016,Serbia,Gross available energy,15452.723
2017,Serbia,Gross available energy,15763.122
2018,Serbia,Gross available energy,15545.308
2019,Serbia,Gross available energy,15433.619
2020,Serbia,Gross available energy,15971.131
2021,Serbia,Gross available energy,16250.547
2022,Serbia,Gross available energy,16438.396
2023,Serbia,Gross available energy,15959.112
2014,Sweden,Gross available energy,51040.499
2015,Sweden,Gross available energy,48852.398
2016,Sweden,Gross available energy,51097.487
2017,Sweden,Gross available energy,52650.353
2018,Sweden,Gross available energy,52847.578
2019,Sweden,Gross available energy,51765.146
2020,Sweden,Gross available energy,47341.515
2021,Sweden,Gross available energy,49717.886
2022,Sweden,Gross available energy,47916.691
2023,Sweden,Gross available energy,46953.988
2014,Slovenia,Gross available energy,6610.783
2015,Slovenia,Gross available energy,6569.516
2016,Slovenia,Gross available energy,6842.152
2017,Slovenia,Gross available energy,7071.42
2018,Slovenia,Gross available energy,7082.868
2019,Slovenia,Gross available energy,6934.077
2020,Slovenia,Gross available energy,6457.192
2021,Slovenia,Gross available energy,6635.211
2022,Slovenia,Gross available energy,6378.396
2023,Slovenia,Gross available energy,6079.932
2014,Slovakia,Gross available energy,16130.826
2015,Slovakia,Gross available energy,16850.477
2016,Slovakia,Gross available energy,17003.816
2017,Slovakia,Gross available energy,17883.333
2018,Slovakia,Gross available energy,17534.083
2019,Slovakia,Gross available energy,17018.262
2020,Slovakia,Gross available energy,16446.618
2021,Slovakia,Gross available energy,17792.853
2022,Slovakia,Gross available energy,16626.605
2023,Slovakia,Gross available energy,16438.978
2014,Türkiye,Gross available energy,123324.482
2015,Türkiye,Gross available energy,133215.061
2016,Türkiye,Gross available energy,140526.971
2017,Türkiye,Gross available energy,151296.854
2018,Türkiye,Gross available energy,149051.401
2019,Türkiye,Gross available energy,151040.534
2020,Türkiye,Gross available energy,148608.858
2021,Türkiye,Gross available energy,162358.518
2022,Türkiye,Gross available energy,160103.683
2023,Türkiye,Gross available energy,162909.177
2014,Ukraine,Gross available energy,105889.728
2015,Ukraine,Gross available energy,93112.957
2016,Ukraine,Gross available energy,91863.089
2017,Ukraine,Gross available energy,89767.891
2018,Ukraine,Gross available energy,93850.613
2019,Ukraine,Gross available energy,89641.456
2020,Ukraine,Gross available energy,86582.654
2014,United Kingdom,Gross available energy,190352.358
2015,United Kingdom,Gross available energy,193599.379
2016,United Kingdom,Gross available energy,191122.253
2017,United Kingdom,Gross available energy,188732.575
2018,United Kingdom,Gross available energy,188474.12
2019,United Kingdom,Gross available energy,184967.77
2014,Kosovo*,Gross available energy,2217.18
2015,Kosovo*,Gross available energy,2524.38
2016,Kosovo*,Gross available energy,2703.587
2017,Kosovo*,Gross available energy,2568.576
2018,Kosovo*,Gross available energy,2584.929
2019,Kosovo*,Gross available energy,2668.905
2020,Kosovo*,Gross available energy,2665.079
2021,Kosovo*,Gross available energy,2887.992
2022,Kosovo*,Gross available energy,2662.158
2023,Kosovo*,Gross available energy,2552.322
2014,Albania,Total energy supply,2347.117
2015,Albania,Total energy supply,2196.15
2016,Albania,Total energy supply,2264.689
2017,Albania,Total energy supply,2367.99
2018,Albania,Total energy supply,2359.535
2019,Albania,Total energy supply,2333.185
2020,Albania,Total energy supply,2166.847
2021,Albania,Total energy supply,2281.204
2022,Albania,Total energy supply,2171.506
2023,Albania,Total energy supply,2143.888
2014,Austria,Total energy supply,32270.341
2015,Austria,Total energy supply,33027.98
2016,Austria,Total energy supply,33429.285
2017,Austria,Total energy supply,34070.053
2018,Austria,Total energy supply,33184.811
2019,Austria,Total energy supply,33808.518
2020,Austria,Total energy supply,32020.989
2021,Austria,Total energy supply,33810.93
2022,Austria,Total energy supply,31985.355
2023,Austria,Total energy supply,30742.694
2014,Bosnia and Herzegovina,Total energy supply,5998.422
2015,Bosnia and Herzegovina,Total energy supply,6176.764
2016,Bosnia and Herzegovina,Total energy supply,6756.626
2017,Bosnia and Herzegovina,Total energy supply,6743.965
2018,Bosnia and Herzegovina,Total energy supply,7470.571
2019,Bosnia and Herzegovina,Total energy supply,7220.822
2020,Bosnia and Herzegovina,Total energy supply,7104.379
2021,Bosnia and Herzegovina,Total energy supply,7359.713
2022,Bosnia and Herzegovina,Total energy supply,7279.512
2014,Belgium,Total energy supply,52292.301
2015,Belgium,Total energy supply,52236.174
2016,Belgium,Total energy supply,55044.315
2017,Belgium,Total energy supply,54849.112
2018,Belgium,Total energy supply,53025.133
2019,Belgium,Total energy supply,54405.026
2020,Belgium,Total energy supply,50242.955
2021,Belgium,Total energy supply,55309.612
2022,Belgium,Total energy supply,50548.546
2023,Belgium,Total energy supply,47386.081
2014,Bulgaria,Total energy supply,17704.737
2015,Bulgaria,Total energy supply,18504.383
2016,Bulgaria,Total energy supply,18081.015
2017,Bulgaria,Total energy supply,18697.785
2018,Bulgaria,Total energy supply,18605.594
2019,Bulgaria,Total energy supply,18434.751
2020,Bulgaria,Total energy supply,17576.063
2021,Bulgaria,Total energy supply,19121.85
2022,Bulgaria,Total energy supply,19347.406
2023,Bulgaria,Total energy supply,16998.357
2014,Cyprus,Total energy supply,2003.342
2015,Cyprus,Total energy supply,2054.544
2016,Cyprus,Total energy supply,2188.57
2017,Cyprus,Total energy supply,2259.845
2018,Cyprus,Total energy supply,2308.403
2019,Cyprus,Total energy supply,2315.13
2020,Cyprus,Total energy supply,2187.784
2021,Cyprus,Total energy supply,2251.763
2022,Cyprus,Total energy supply,2306.329
2023,Cyprus,Total energy supply,2306.258
2014,Czechia,Total energy supply,41719.164
2015,Czechia,Total energy supply,41756.676
2016,Czechia,Total energy supply,41342.607
2017,Czechia,Total energy supply,43107.399
2018,Czechia,Total energy supply,43228.743
2019,Czechia,Total energy supply,42514.929
2020,Czechia,Total energy supply,40205.287
2021,Czechia,Total energy supply,42573.974
2022,Czechia,Total energy supply,41583.316
2023,Czechia,Total energy supply,38095.01
2014,Germany,Total energy supply,308553.144
2015,Germany,Total energy supply,310082.463
2016,Germany,Total energy supply,311411.038
2017,Germany,Total energy supply,312465.059
2018,Germany,Total energy supply,305036.733
2019,Germany,Total energy supply,298401.223
2020,Germany,Total energy supply,280330.894
2021,Germany,Total energy supply,290326.95
2022,Germany,Total energy supply,273370.747
2023,Germany,Total energy supply,246575.287
2014,Denmark,Total energy supply,16439.028
2015,Denmark,Total energy supply,16382.136
2016,Denmark,Total energy supply,16798.14
2017,Denmark,Total energy supply,16890.808
2018,Denmark,Total energy supply,16873.874
2019,Denmark,Total energy supply,16318.102
2020,Denmark,Total energy supply,15693.913
2021,Denmark,Total energy supply,16517.043
2022,Denmark,Total energy supply,15644.23
2023,Denmark,Total energy supply,15218.836
2014,Estonia,Total energy supply,5538.862
2015,Estonia,Total energy supply,4800.803
2016,Estonia,Total energy supply,5978.413
2017,Estonia,Total energy supply,5853.264
2018,Estonia,Total energy supply,5648.229
2019,Estonia,Total energy supply,4848.194
2020,Estonia,Total energy supply,4472.653
2021,Estonia,Total energy supply,4564.345
2022,Estonia,Total energy supply,4796.355
2023,Estonia,Total energy supply,4206.437
2014,Greece,Total energy supply,23216.752
2015,Greece,Total energy supply,23264.675
2016,Greece,Total energy supply,22775.802
2017,Greece,Total energy supply,23407.972
2018,Greece,Total energy supply,22748.616
2019,Greece,Total energy supply,22423.526
2020,Greece,Total energy supply,20093.116
2021,Greece,Total energy supply,20814.067
2022,Greece,Total energy supply,20673.511
2023,Greece,Total energy supply,19733.783
2014,Spain,Total energy supply,114522.755
2015,Spain,Total energy supply,118954.381
2016,Spain,Total energy supply,119715.84
2017,Spain,Total energy supply,125876.951
2018,Spain,Total energy supply,125486.607
2019,Spain,Total energy supply,121939.72
2020,Spain,Total energy supply,110214.255
2021,Spain,Total energy supply,116189.969
2022,Spain,Total energy supply,115929.324
2023,Spain,Total energy supply,112103.389
2014,European Union - 27 countries (from 2020),Total energy supply,1395553.248
2015,European Union - 27 countries (from 2020),Total energy supply,1414411.352
2016,European Union - 27 countries (from 2020),Total energy supply,1424869.682
2017,European Union - 27 countries (from 2020),Total energy supply,1453265.431
2018,European Union - 27 countries (from 2020),Total energy supply,1441332.988
2019,European Union - 27 countries (from 2020),Total energy supply,1416846.839
2020,European Union - 27 countries (from 2020),Total energy supply,1322061.691
2021,European Union - 27 countries (from 2020),Total energy supply,1399846.685
2022,European Union - 27 countries (from 2020),Total energy supply,1319878.963
2023,European Union - 27 countries (from 2020),Total energy supply,1261556.255
2014,Finland,Total energy supply,33720.799
2015,Finland,Total energy supply,32022.519
2016,Finland,Total energy supply,33221.313
2017,Finland,Total energy supply,33574.369
2018,Finland,Total energy supply,34131.262
2019,Finland,Total energy supply,33369.792
2020,Finland,Total energy supply,31840.931
2021,Finland,Total energy supply,33432.573
2022,Finland,Total energy supply,31962.514
2023,Finland,Total energy supply,32679.07
2014,France,Total energy supply,250583.778
2015,France,Total energy supply,254653.634
2016,France,Total energy supply,250262.449
2017,France,Total energy supply,250209.838
2018,France,Total energy supply,248828.476
2019,France,Total energy supply,245633.745
2020,France,Total energy supply,221001.482
2021,France,Total energy supply,239058.007
2022,France,Total energy supply,215301.347
2023,France,Total energy supply,218730.824
2014,Georgia,Total energy supply,4440.201
2015,Georgia,Total energy supply,4690.718
2016,Georgia,Total energy supply,4847.596
2017,Georgia,Total energy supply,4894.047
2018,Georgia,Total energy supply,4851.522
2019,Georgia,Total energy supply,5101.024
2020,Georgia,Total energy supply,4941.465
2021,Georgia,Total energy supply,5288.346
2022,Georgia,Total energy supply,5730.543
2014,Croatia,Total energy supply,8030.511
2015,Croatia,Total energy supply,8387.91
2016,Croatia,Total energy supply,8454.603
2017,Croatia,Total energy supply,8734.018
2018,Croatia,Total energy supply,8491.654
2019,Croatia,Total energy supply,8589.513
2020,Croatia,Total energy supply,8248.778
2021,Croatia,Total energy supply,8596.096
2022,Croatia,Total energy supply,8322.109
2023,Croatia,Total energy supply,8642.862
2014,Hungary,Total energy supply,23652.512
2015,Hungary,Total energy supply,25028.528
2016,Hungary,Total energy supply,25327.38
2017,Hungary,Total energy supply,26432.948
2018,Hungary,Total energy supply,26428.293
2019,Hungary,Total energy supply,26426.11
2020,Hungary,Total energy supply,26038.115
2021,Hungary,Total energy supply,27252.37
2022,Hungary,Total energy supply,25521.535
2023,Hungary,Total energy supply,23998.617
2014,Ireland,Total energy supply,12663.532
2015,Ireland,Total energy supply,13329.239
2016,Ireland,Total energy supply,14089.163
2017,Ireland,Total energy supply,13821.424
2018,Ireland,Total energy supply,13808.442
2019,Ireland,Total energy supply,13872.552
2020,Ireland,Total energy supply,13380.811
2021,Ireland,Total energy supply,13833.394
2022,Ireland,Total energy supply,13650.944
2023,Ireland,Total energy supply,13242.136
2014,Iceland,Total energy supply,5880.121
2015,Iceland,Total energy supply,5598.487
2016,Iceland,Total energy supply,5301.07
2017,Iceland,Total energy supply,5580.871
2018,Iceland,Total energy supply,6137.121
2019,Iceland,Total energy supply,6017.862
2020,Iceland,Total energy supply,5896.639
2021,Iceland,Total energy supply,5879.216
2022,Iceland,Total energy supply,6044.777
2023,Iceland,Total energy supply,6053.741
2014,Italy,Total energy supply,146769.878
2015,Italy,Total energy supply,152563.263
2016,Italy,Total energy supply,150981.786
2017,Italy,Total energy supply,156093.486
2018,Italy,Total energy supply,153154.765
2019,Italy,Total energy supply,151464.153
2020,Italy,Total energy supply,140100.485
2021,Italy,Total energy supply,152431.5
2022,Italy,Total energy supply,145220.387
2023,Italy,Total energy supply,138564.382
2014,Lithuania,Total energy supply,6982.737
2015,Lithuania,Total energy supply,7102.764
2016,Lithuania,Total energy supply,7260.136
2017,Lithuania,Total energy supply,7587.93
2018,Lithuania,Total energy supply,7707.013
2019,Lithuania,Total energy supply,7678.847
2020,Lithuania,Total energy supply,7578.481
2021,Lithuania,Total energy supply,7886.226
2022,Lithuania,Total energy supply,7030.581
2023,Lithuania,Total energy supply,7091.64
2014,Luxembourg,Total energy supply,3816.042
2015,Luxembourg,Total energy supply,3720.585
2016,Luxembourg,Total energy supply,3682.673
2017,Luxembourg,Total energy supply,3756.18
2018,Luxembourg,Total energy supply,3890.742
2019,Luxembourg,Total energy supply,3945.022
2020,Luxembourg,Total energy supply,3420.874
2021,Luxembourg,Total energy supply,3598.085
2022,Luxembourg,Total energy supply,3170.33
2023,Luxembourg,Total energy supply,3092.4
2014,Latvia,Total energy supply,4342.844
2015,Latvia,Total energy supply,4272.07
2016,Latvia,Total energy supply,4269.072
2017,Latvia,Total energy supply,4411.164
2018,Latvia,Total energy supply,4639.996
2019,Latvia,Total energy supply,4490.786
2020,Latvia,Total energy supply,4303.131
2021,Latvia,Total energy supply,4502.201
2022,Latvia,Total energy supply,4264.159
2023,Latvia,Total energy supply,4249.825
2014,Moldova,Total energy supply,2562.194
2015,Moldova,Total energy supply,2577.636
2016,Moldova,Total energy supply,2675.233
2017,Moldova,Total energy supply,2802.061
2018,Moldova,Total energy supply,2928.689
2019,Moldova,Total energy supply,2787.043
2020,Moldova,Total energy supply,2695.927
2021,Moldova,Total energy supply,2964.279
2022,Moldova,Total energy supply,2642.73
2023,Moldova,Total energy supply,2523.967
2014,Montenegro,Total energy supply,956.041
2015,Montenegro,Total energy supply,999.975
2016,Montenegro,Total energy supply,969.744
2017,Montenegro,Total energy supply,1016.123
2018,Montenegro,Total energy supply,1050.357
2019,Montenegro,Total energy supply,1087.037
2020,Montenegro,Total energy supply,1017.484
2021,Montenegro,Total energy supply,1080.295
2022,Montenegro,Total energy supply,1043.217
2023,Montenegro,Total energy supply,1072.583
2014,North Macedonia,Total energy supply,2694.823
2015,North Macedonia,Total energy supply,2646.571
2016,North Macedonia,Total energy supply,2689.8
2017,North Macedonia,Total energy supply,2742.38
2018,North Macedonia,Total energy supply,2568.515
2019,North Macedonia,Total energy supply,2833.996
2020,North Macedonia,Total energy supply,2581.634
2021,North Macedonia,Total energy supply,2660.368
2022,North Macedonia,Total energy supply,2710.925
2023,North Macedonia,Total energy supply,2687.858
2014,Malta,Total energy supply,780.25
2015,Malta,Total energy supply,641.81
2016,Malta,Total energy supply,594.334
2017,Malta,Total energy supply,685.508
2018,Malta,Total energy supply,689.847
2019,Malta,Total energy supply,736.457
2020,Malta,Total energy supply,701.898
2021,Malta,Total energy supply,722.212
2022,Malta,Total energy supply,791.517
2023,Malta,Total energy supply,792.746
2014,Netherlands,Total energy supply,71379.094
2015,Netherlands,Total energy supply,72675.025
2016,Netherlands,Total energy supply,74281.91
2017,Netherlands,Total energy supply,75436.631
2018,Netherlands,Total energy supply,73916.012
2019,Netherlands,Total energy supply,72238.847
2020,Netherlands,Total energy supply,69686.107
2021,Netherlands,Total energy supply,71835.731
2022,Netherlands,Total energy supply,64065.513
2023,Netherlands,Total energy supply,61915.963
2014,Norway,Total energy supply,28797.905
2015,Norway,Total energy supply,25900.34
2016,Norway,Total energy supply,28640.085
2017,Norway,Total energy supply,30199.931
2018,Norway,Total energy supply,30241.653
2019,Norway,Total energy supply,28807.953
2020,Norway,Total energy supply,28501.585
2021,Norway,Total energy supply,29521.502
2022,Norway,Total energy supply,26383.505
2023,Norway,Total energy supply,28064.65
2014,Poland,Total energy supply,94238.272
2015,Poland,Total energy supply,95219.341
2016,Poland,Total energy supply,99899.02
2017,Poland,Total energy supply,104374.815
2018,Poland,Total energy supply,108970.234
2019,Poland,Total energy supply,104995.829
2020,Poland,Total energy supply,102502.369
2021,Poland,Total energy supply,109024.827
2022,Poland,Total energy supply,103483.017
2023,Poland,Total energy supply,97035.631
2014,Portugal,Total energy supply,21749.038
2015,Portugal,Total energy supply,22542.371
2016,Portugal,Total energy supply,22371.881
2017,Portugal,Total energy supply,23362.56
2018,Portugal,Total energy supply,22670.814
2019,Portugal,Total energy supply,22447.447
2020,Portugal,Total energy supply,20877.003
2021,Portugal,Total energy supply,20878.132
2022,Portugal,Total energy supply,21196.935
2023,Portugal,Total energy supply,20485.643
2014,Romania,Total energy supply,31378.656
2015,Romania,Total energy supply,31633.671
2016,Romania,Total energy supply,31504.39
2017,Romania,Total energy supply,33198.65
2018,Romania,Total energy supply,33454.778
2019,Romania,Total energy supply,33052.581
2020,Romania,Total energy supply,32174.534
2021,Romania,Total energy supply,34208.754
2022,Romania,Total energy supply,31563.63
2023,Romania,Total energy supply,30675.169
2014,Serbia,Total energy supply,13287.293
2015,Serbia,Total energy supply,14744.285
2016,Serbia,Total energy supply,15313.003
2017,Serbia,Total energy supply,15615.634
2018,Serbia,Total energy supply,15387.931
2019,Serbia,Total energy supply,15274.777
2020,Serbia,Total energy supply,15875.521
2021,Serbia,Total energy supply,16124.581
2022,Serbia,Total energy supply,16280.771
2023,Serbia,Total energy supply,15756.649
2014,Sweden,Total energy supply,48581.33
2015,Sweden,Total energy supply,46267.57
2016,Sweden,Total energy supply,48251.609
2017,Sweden,Total energy supply,49373.801
2018,Sweden,Total energy supply,50095.498
2019,Sweden,Total energy supply,48807.153
2020,Sweden,Total energy supply,44419.328
2021,Sweden,Total energy supply,46797.276
2022,Sweden,Total energy supply,45200.662
2023,Sweden,Total energy supply,44522.981
2014,Slovenia,Total energy supply,6527.886
2015,Slovenia,Total energy supply,6479.797
2016,Slovenia,Total energy supply,6698.763
2017,Slovenia,Total energy supply,6890.862
2018,Slovenia,Total energy supply,6821.909
2019,Slovenia,Total energy supply,6716.129
2020,Slovenia,Total energy supply,6331.795
2021,Slovenia,Total energy supply,6538.697
2022,Slovenia,Total energy supply,6356.188
2023,Slovenia,Total energy supply,6060.213
2014,Slovakia,Total energy supply,16095.663
2015,Slovakia,Total energy supply,16807.04
2016,Slovakia,Total energy supply,16954.175
2017,Slovakia,Total energy supply,17842.999
2018,Slovakia,Total energy supply,17486.51
2019,Slovakia,Total energy supply,16972.757
2020,Slovakia,Total energy supply,16417.66
2021,Slovakia,Total energy supply,17770.101
2022,Slovakia,Total energy supply,16592.476
2023,Slovakia,Total energy supply,16410.021
2014,Türkiye,Total energy supply,119587.269
2015,Türkiye,Total energy supply,128687.444
2016,Türkiye,Total energy supply,136084.75
2017,Türkiye,Total energy supply,146762.539
2018,Türkiye,Total energy supply,144189.468
2019,Türkiye,Total energy supply,145616.384
2020,Türkiye,Total energy supply,146144.231
2021,Türkiye,Total energy supply,159031.445
2022,Türkiye,Total energy supply,155395.318
2023,Türkiye,Total energy supply,157714.363
2014,Ukraine,Total energy supply,105759.796
2015,Ukraine,Total energy supply,92990.131
2016,Ukraine,Total energy supply,91706.406
2017,Ukraine,Total energy supply,89516.625
2018,Ukraine,Total energy supply,93550.622
2019,Ukraine,Total energy supply,89520.123
2020,Ukraine,Total energy supply,86551.03
2014,United Kingdom,Total energy supply,176632.008
2015,United Kingdom,Total energy supply,180003.492
2016,United Kingdom,Total energy supply,177369.306
2017,United Kingdom,Total energy supply,174572.87
2018,United Kingdom,Total energy supply,174024.392
2019,United Kingdom,Total energy supply,170540.288
2014,Kosovo*,Total energy supply,2215.126
2015,Kosovo*,Total energy supply,2520.271
2016,Kosovo*,Total energy supply,2699.478
2017,Kosovo*,Total energy supply,2562.653
2018,Kosovo*,Total energy supply,2581.86
2019,Kosovo*,Total energy supply,2666.421
2020,Kosovo*,Total energy supply,2662.957
2021,Kosovo*,Total energy supply,2885.557
2022,Kosovo*,Total energy supply,2658.464
2023,Kosovo*,Total energy supply,2549.952
2014,Bosnia and Herzegovina,Primary energy consumption (Europe 2020-2030),5936.371
2015,Bosnia and Herzegovina,Primary energy consumption (Europe 2020-2030),6113.933
2016,Bosnia and Herzegovina,Primary energy consumption (Europe 2020-2030),6691.273
2017,Bosnia and Herzegovina,Primary energy consumption (Europe 2020-2030),6691.094
2018,Bosnia and Herzegovina,Primary energy consumption (Europe 2020-2030),7379.331
2019,Bosnia and Herzegovina,Primary energy consumption (Europe 2020-2030),7136.966
2020,Bosnia and Herzegovina,Primary energy consumption (Europe 2020-2030),7003.141
2021,Bosnia and Herzegovina,Primary energy consumption (Europe 2020-2030),7282.862
2022,Bosnia and Herzegovina,Primary energy consumption (Europe 2020-2030),7215.018
2014,Ukraine,Primary energy consumption (Europe 2020-2030),101645.14
2015,Ukraine,Primary energy consumption (Europe 2020-2030),89143.423
2016,Ukraine,Primary energy consumption (Europe 2020-2030),88340.405
2017,Ukraine,Primary energy consumption (Europe 2020-2030),86700.196
2018,Ukraine,Primary energy consumption (Europe 2020-2030),90686.528
2019,Ukraine,Primary energy consumption (Europe 2020-2030),86153.549
2020,Ukraine,Primary energy consumption (Europe 2020-2030),82804.234
2014,United Kingdom,Primary energy consumption (Europe 2020-2030),180717.605
2015,United Kingdom,Primary energy consumption (Europe 2020-2030),182604.775
2016,United Kingdom,Primary energy consumption (Europe 2020-2030),179439.239
2017,United Kingdom,Primary energy consumption (Europe 2020-2030),177271.285
2018,United Kingdom,Primary energy consumption (Europe 2020-2030),177220.208
2019,United Kingdom,Primary energy consumption (Europe 2020-2030),174296.992
